Orthogroup	chimp	human	rhesus
OG0000038	PRR23A, PRR23B, PRR23C	PRR23A, PRR23B, PRR23C	LOC715886, PRR23A, PRR23B
OG0000039		HOXD4, HOXD8	HOXA2, HOXA4, HOXA5, HOXA6, HOXA7, MEOX2, MNX1
OG0000040		UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9	
OG0000041			LOC100427887, LOC106996125, LOC114669803, LOC711101, LOC711182, LOC711261, LOC711745, LOC711828, LOC711986
OG0000042	LOC112209005, LOC748910	PRAMEF1, PRAMEF13, PRAMEF14, PRAMEF2	LOC100425959, LOC100427743
OG0000043	BMP8A, BMP8B	BMP10, BMP8A, BMP8B, GDF7	BMP8B, LOC718677
OG0000044	AMY1C, AMY2A, AMY2B	AMY1A, AMY1B, AMY1C, AMY2A, AMY2B	
OG0000045	GNAI2, GNAI3	GNAI2, GNAI3	GNA12, GNAI1, GNAI2, GNAI3
OG0000046	RHOA, RHOC	RHOA, RHOB, RHOC, RND3	RHOA, RHOC
OG0000047	LOC457165, LOC469446	HSD3B1, HSD3B2	HSD3B2, LOC713091, LOC713272, LOC715337
OG0000048	LOC112204062, LOC735897	LCE2B, LCE2C, LCE2D	LOC100423831, LOC100424118, LOC107000957
OG0000049	ZNF496	ZNF496	ZKSCAN1, ZKSCAN5, ZNF394, ZNF496, ZSCAN21, ZSCAN25
OG0000050	LOC469761, LOC469766, TRIM58	OR2T12, OR2T33, OR2T8	LOC706331, LOC707174
OG0000051	LOC469776, LOC741803, OR2T4	OR2T29, OR2T4, OR2T5	LOC707004, LOC707109
OG0000052	TNIK	BUB1, MAP3K19, MAP3K2, MAP4K4, TNIK, VRK2	TNIK
OG0000053	HTR3C, HTR3D, HTR3E	HTR3C, HTR3D, HTR3E	HTR3E, LOC706232
OG0000054	CLDN1	CLDN1	CLDN1, CLDN14, CLDN17, CLDN3, CLDN4, CLDN8
OG0000055		CNOT9, MITD1, SULT1C2, SULT1C3, SULT1C4, SULT6B1	IL10RB, WIPI2
OG0000056			GIMAP1, GIMAP2, GIMAP4, GIMAP5, GIMAP6, GIMAP7, GIMAP8, LOC100428304
OG0000057	ATAD3B, ATAD3C, LOC457200	ATAD3A, ATAD3B, ATAD3C	LOC114674453
OG0000058	GNB1, GNB4	GNB1, GNB4	GNB1, GNB2, GNB4
OG0000059	FAM76A, LOC112208422	ERLEC1, FAM76A, POLR1B	FAM76A, LOC695887
OG0000060	PRAMEF10, PRAMEF17	PRAMEF10, PRAMEF17, PRAMEF33	LOC100427847, LOC715953
OG0000061	CROCC, LOC104006424	CROCC, CROCC2	CROCC, LOC114669793, LOC114669806
OG0000062	HPCA, LOC100612950	HPCA, HPCAL1, KCNIP3, PPP3R1	HPCA
OG0000063	CYP4A22, LOC739864	CYP4A11, CYP4A22	LOC703490, LOC709461, LOC721404
OG0000064	GNAT1, GNAT2	GNAT1, GNAT2	GNAT1, GNAT2, GNAT3
OG0000065	KCND3	KCND3, KCNF1, KCNG3, KCNS3	KCND2, KCND3
OG0000066	FCGR2A, LOC107973075, LOC748765	FCGR2A, FCGR2B	FCGR2A, FCGR2B
OG0000067	PLXNA1, PLXNA2	PLXNA1, PLXNA2	PLXNA1, PLXNA2, PLXNA4
OG0000068	LOC112208657, LOC469774	OR2T2, OR2T35	LOC114677618, LOC704613, LOC706213
OG0000069	OXSR1	MAP4K3, OXSR1, STK25, STK39, STRADB	OXSR1
OG0000070	ACVR2B	ACVR1, ACVR1C, ACVR2A, ACVR2B, BMPR2	ACVR2B
OG0000071	VIPR1	SCTR, VIPR1	ADCYAP1R1, GHRHR, VIPR1, VIPR2
OG0000072	ZNF589	BCL11A, OSR1, ZNF589	ZNF589, ZNF775, ZNF853
OG0000073	SEMA3F	SEMA3F	SEMA3A, SEMA3C, SEMA3D, SEMA3E, SEMA3F
OG0000074	DGKG	CIB4, DGKD, DGKG	DGKB, DGKG, DGKI
OG0000075		DLX1, DLX2, EMX1, TLX2, VAX2	DLX5, DLX6
OG0000076		CYP20A1	CYP3A4, CYP3A43, CYP3A5, CYP3A7, LOC106997572, TBXAS1
OG0000077			LOC100428559, LOC100429936, LOC106997582, LOC114677105, LOC114677106, LOC719481, MUC12
OG0000078	PRKCI, PRKCZ	PRKCI, PRKCZ	PRKCI, PRKCZ
OG0000079	CLCNKA, CLCNKB	CLCNKA, CLCNKB	CLCNKB, LOC703259
OG0000080	PAX7	PAX3, PAX7, PAX8	PAX4, PAX7
OG0000081	LOC107971361, LOC112209443, LOC112209449	RHCE, RHD	RHCE
OG0000082	EPB41	EPB41, EPB41L5, FARP2, PTPN4	EPB41
OG0000083	LOC100615329, RPS27	RPS27	LOC704267, LOC719289, RPS27
OG0000084	ZFP69	ZFP69	RBAK, ZFP69, ZNF12, ZNF713
OG0000085	CYP2J2	CYP1B1, CYP2J2	LOC100428047, LOC693631, LOC709073
OG0000086	HFM1	HFM1, IFIH1, SNRNP200	HFM1, LOC100429940
OG0000087	LOC107971330, MAGI3	MAGI3	MAGI2, MAGI3, RADIL
OG0000088	TRIM33	BAZ2B, TRIM33	AIRE, TRIM24, TRIM33
OG0000089	LOC469501, S100A7	S100A7, S100A7A	LOC713189, LOC714943
OG0000090	CHRNB2	CHRNA1, CHRNB2, CHRND, CHRNG	CHRNB2
OG0000091	LOC112205388, MTX1	MTX1, MTX2	LOC114677344, LOC717595
OG0000092	OR10K1, OR10K2	OR10K1, OR10K2	LOC100424420, LOC106992648
OG0000093	LOC469533, OR6K3	OR6K3	LOC100430416, LOC100430596, LOC719948
OG0000094	HSPA6, LOC748740	HSPA6	HSPA13, HSPA6, LOC709412
OG0000095	FMO3, LOC469566, LOC469579	FMO3	FMO3, LOC706438
OG0000096	LOC112204135, LOC469572	XCL1, XCL2	LOC100423131, XCL1
OG0000097	SLC19A2	C2orf83, SLC19A2, SLC19A3	SLC19A1, SLC19A2
OG0000098	BRINP2, BRINP3	BRINP2, BRINP3	BRINP2, BRINP3
OG0000099	LOC107966662, TEDDM1	TEDDM1	LOC717895, LOC717930, TEDDM1
OG0000100	NEK7	EIF2AK2, EIF2AK3, NEK7, STK16	NEK7
OG0000101	ARL8A, ARL8B	ARL8A, ARL8B	ARL8A, ARL8B
OG0000102	ATP2B2, ATP2B4	ATP2B2, ATP2B4	ATP2B2, ATP2B4
OG0000103	FAM72A	FAM72A, FAM72B, FAM72C, FAM72D	FAM72A
OG0000104	MARK1	MARK1, PASK	HUNK, MARK1, SIK1
OG0000105	CAPN8	CAPN10, CAPN13, CAPN14, CAPN8	CAPN8
OG0000106	LEFTY1, LEFTY2	LEFTY1, LEFTY2	LOC699676, LOC699924
OG0000107	LOC104004833, OR6F1	OR6F1	LOC100426977, LOC703727, LOC708343
OG0000108	LOC104004827, OR14A16	OR14A16, OR14A2	LOC100425929, LOC708144
OG0000109	CCR4	CCR4, CXCR1, CXCR2, CXCR4	CCR4
OG0000110	ITGA9	ITGA4, ITGA6, ITGA9, ITGAV	ITGA9
OG0000111	ZKSCAN7, ZNF852	ZKSCAN7, ZNF852	ZKSCAN7, ZNF852
OG0000112	SLC26A6	SLC26A6	SLC26A3, SLC26A4, SLC26A5, SLC26A6
OG0000113	HYAL2	HYAL2	HYAL2, HYAL4, LOC696128, SPAM1
OG0000114	DNAH12	DNAH12, DNAH6, DNAH7	DNAH11, DNAH12
OG0000115	ARF4	ARF1, ARF4, ARL5A	ARF4, ARF5
OG0000116	LOC470870, LOC738886	OR5K1, OR5K2	LOC100430927, OR5K1
OG0000117	ROPN1, ROPN1B	ROPN1, ROPN1B	ROPN1, ROPN1B
OG0000118	ITGB5	ITGB5, ITGB6	ITGB2, ITGB5, ITGB8
OG0000119	KLF15	KLF11, KLF15, KLF7	KLF14, KLF15
OG0000120	P2RY1	GPR17, OXER1, P2RY1	LOC706233, P2RY1
OG0000121	ECE2	ECE2, ECEL1, EEF1AKMT4-ECE2	KEL, LOC702851
OG0000122		IL1RN, IL36A, IL36B, IL36G, IL36RN, IL37	
OG0000123			KRTAP19-3, LOC114676710, LOC114676824, LOC114677098, LOC703883, LOC712671
OG0000124	ESPN, LOC469157	ESPN, ESPNL	ESPN
OG0000125	KLHL21	KLHL21, KLHL29, KLHL30	KLHL21
OG0000126	PRAMEF12	PRAMEF12, PRAMEF7, PRAMEF8	PRAMEF12
OG0000127	LOC736510, PRAMEF19	PRAMEF18, PRAMEF19	LOC716081
OG0000128	ARHGEF19	ARHGEF19, NGEF	ARHGEF19, ARHGEF5
OG0000129	KIF17	KIF17, KIF3C, KIF5C	KIF17
OG0000130	CELA3A, LOC456491	CELA3A, CELA3B	CELA3B
OG0000131	CDC42	CDC42, RHOQ	CDC42, RAC1
OG0000132	HTR1D	ADRA2B, HTR1D, HTR2B	HTR1D
OG0000133	SFN	SFN, YWHAQ	SFN, YWHAG
OG0000134	SLC9A1	SLC9A1, SLC9A2, SLC9A4	SLC9A1
OG0000135	OPRD1	OPRD1, PROKR1, TACR1	OPRD1
OG0000136	LCK	LCK, ZAP70	LCK, RIPK4
OG0000137	ZBTB8A	EGR4, ZBTB8A, ZEB2	ZBTB8A
OG0000138	AZIN2	AZIN2, ODC1	AZIN2, LOC705256
OG0000139	LOC100613331, NDUFS5	NDUFS5	LOC693506, NDUFS5
OG0000140	LOC112209812, OXCT2	OXCT2	LOC106997886, OXCT2
OG0000141	TESK2	PKDCC, TESK2	LIMK1, TESK2
OG0000142	FAAH, LOC738231	FAAH	FAAH, LOC708660
OG0000143	FOXE3	FOXD4L1, FOXE3, FOXI3	FOXE3
OG0000144	LOC107973587	HNRNPA3	HNRNPA2B1, LOC716248, RBM28
OG0000145	MSH4	MSH2, MSH4, MSH6	MSH4
OG0000146	LOC112208243, RBMXL1	RBMXL1	EIF4H, RBMXL1
OG0000147	ABCA4	ABCA12, ABCA4	ABCA13, ABCA4
OG0000148	KIAA1324	ELAPOR1	KIAA1324L, LOC697670, LOC700142
OG0000149	LOC112204966, PSMA5	PSMA5	PSMA2, PSMA5
OG0000150	AHCYL1	AHCYL1	AHCYL1, AHCYL2, LOC698344
OG0000151	CD53	CD53	CD53, TSPAN12, TSPAN33
OG0000152	WNT2B	WNT2B	WNT16, WNT2, WNT2B
OG0000153	PTPN22	PTPN18, PTPN22	PTPN12, PTPN22
OG0000154	LOC112204059, LOC457262	H4C14	LOC106996511, LOC107000818
OG0000155	SF3B4	NIFK, SF3B4	RBM11, SF3B4
OG0000156	LOC735629, LOC735937	LCE3D, LCE3E	LOC107000776
OG0000157	SPRR1A, SPRR1B	SPRR1A, SPRR1B	SPRR1B
OG0000158	RAB13	RAB10, RAB13, RAB1A	RAB13
OG0000159	ASH1L	ASH1L	ASH1L, EZH2, KMT2C
OG0000160	GON4L, LOC112205396	GON4L	LOC114670433, LOC719341
OG0000161	SEMA4A	SEMA4A, SEMA4C, SEMA4F	SEMA4A
OG0000162	KCNJ10	KCNJ10, KCNJ13	KCNJ10, KCNJ15
OG0000163	KCNJ9	KCNJ3, KCNJ9	KCNJ6, KCNJ9
OG0000164	ITLN1, ITLN2	ITLN1, ITLN2	ITLN1
OG0000165	USP21	USP21, USP37	USP21, USP42
OG0000166	ADAMTS4	ADAMTS4	ADAMTS1, ADAMTS4, ADAMTS5
OG0000167	LOC457457, LOC745350	FCGR3A, FCGR3B	FCGR3
OG0000168	VAMP4	VAMP4, VAMP5, VAMP8	VAMP4
OG0000169	CFHR4, LOC107966493	CFHR1, CFHR2	CFHR2
OG0000170	LOC104004490	TUBA3D, TUBA3E, TUBA4A, TUBA4B	
OG0000171	SRGAP2	SRGAP2, SRGAP2B, SRGAP2C	SRGAP2
OG0000172	DYRK3	DYRK3	DYRK1A, DYRK3, SRPK2
OG0000173	OBSCN	OBSCN, OBSL1	LOC114669981, OBSCN
OG0000174	ABCB10	ABCB10, ABCB6	ABCB10, ABCB8
OG0000175	KCNK1	KCNK1, KCNK12, KCNK3	KCNK1
OG0000176	ACTN2	ACTN2, SPTBN1	ACTN2, MICALL2
OG0000177	LOC112206782	SEPTIN10, SEPTIN2	SEPTIN14, SEPTIN7
OG0000178	AKT3	AKT3, CDKL4, STK36	AKT3
OG0000179	OR2G3	OR2G3, OR4F16, OR4F29, OR4F5	
OG0000180	OR14I1	OR14I1	LOC100423612, LOC694505, LOC708663
OG0000181	CAV3	CAV3	CAV1, CAV2, CAV3
OG0000182	CAMK1	CAMK1	CAMK1, CAMK2B, PHKG1
OG0000183	FANCD2, FANCD2P2	FANCD2	LOC716070, LOC723158
OG0000184	TSEN2	DTYMK, TSEN2	FAM185A, TSEN2
OG0000185	SLC4A7	SLC4A10, SLC4A5, SLC4A7	SLC4A7
OG0000186	VILL	VIL1, VILL	SCIN, VILL
OG0000187	CCR8	CCR8	CCR8, GPER1, GPR146
OG0000188	RPSA	RPSA	LOC114677128, LOC697065, RPSA
OG0000189	KRBOX1	KRBOX1, ZNF2	KRBOX1, ZNF3
OG0000190	CELSR3	ADGRF3, CELSR3, DNER	CELSR3
OG0000191	PRKAR2A	PRKAR2A	PRKAR1B, PRKAR2A, PRKAR2B
OG0000192	LAMB2	LAMB2	LAMB1, LAMB2, LAMB4
OG0000193	IFRD2	IFRD2	IFRD1, IFRD2, LOC106995726
OG0000194	ACY1	ABHD14A-ACY1, ACY1	LOC100425407, LOC698851
OG0000195	PRKCD	PRKCD, PRKCE, RASGRP3	PRKCD
OG0000196	FLNB	FLNB	FLNB, FLNC, LOC100429203
OG0000197	KCTD6	KCTD18, KCTD6	KCTD6, KCTD7
OG0000198	FAM3D	FAM3D	FAM3B, FAM3C, FAM3D
OG0000199	PDIA5	PDIA5, PDIA6	PDIA4, PDIA5
OG0000200	ADCY5	ADCY3, ADCY5	ADCY1, ADCY5
OG0000201	CHST13	CHST10, CHST13	CHST12, CHST13
OG0000202	MCM2	MCM2, MCM6	MCM2, MCM7
OG0000203	COL6A6	COL6A3, COL6A6, VIT	COL6A6
OG0000204	RAB6B	RAB6B, RAB6C, RAB6D	RAB6B
OG0000205	RYK	ALK, MERTK, RYK	RYK
OG0000206	SOX14	SOX11, SOX14, TCF7L1	SOX14
OG0000207	FOXL2	FOXL2	FOXK1, FOXL2, LOC702793
OG0000208	AGTR1	ACKR3, AGTR1, CMKLR2	AGTR1
OG0000209	CP, LOC471082	CP	CP, LOC714135
OG0000210	SCHIP1	IQCJ, IQCJ-SCHIP1, SCHIP1	SCHIP1
OG0000211	SI	SI	MGAM, MGAM2, SI
OG0000212	TBL1XR1	TBL1XR1, WDR12	PWP2, TBL1XR1
OG0000213	B3GNT5	B3GNT2, B3GNT5, B3GNT7	B3GNT5
OG0000214	ABCC5	ABCC5	ABCC13, ABCC5, CFTR
OG0000215	LPP	LPP	LPP, TRIP6, ZYX
OG0000216	LOC104005917, LOC107970454, LOC112208693	LOC105374301	LOC114676118
OG0000217	NCBP2	NCBP2, NCL, SF3B6	NCBP2
OG0000218	DLG1	DLG1, SNTG2	DLG1, PPP1R9A
OG0000219		HNRNPCL1, HNRNPCL2, HNRNPCL3, HNRNPCL4	HNRNPCL1
OG0000220		ABI2, ARHGEF4, ITSN2	ITSN1, TIAM1
OG0000221		EPAS1, NCOA1	AHR, LOC100423621, SIM2
OG0000222		ARHGAP15, ARHGAP25, CHN1, TPRKB	CHN2
OG0000223		FIGN	FIGNL1, LOC693577, PEX1, PSMC2
OG0000224		CDK15	CDK13, CDK14, CDK5, CDK6
OG0000225		FZD5, FZD7	FZD1, FZD9, SMO
OG0000226			LOC114677099, LOC704334, LOC704445, LOC704659, LOC712810
OG0000227			GTF2I, GTF2IRD1, LOC100425965, LOC100428987, LOC698860
OG0000228	INTS11	CPSF3, INTS11	INTS11
OG0000229	DVL1	DVL1, PARD3B	DVL1
OG0000230	LOC469457	CDK11A, CDK11B	CDK11B
OG0000231	LOC457206	SLC35E2A, SLC35E2B	SLC35E2B
OG0000232	CFAP74, LOC112208684	CFAP74	CFAP74
OG0000233	PER3	PER2, PER3	PER3
OG0000234	ENO1	ENO1	ENO1, LOC694593
OG0000235	KIF1B	KIF1A, KIF1B	KIF1B
OG0000236	CENPS	CENPS, CENPS-CORT	LOC107000378
OG0000237	ANGPTL7	ANGPTL7	ANGPTL7, FGL2
OG0000238	FBXO6	FBXO6	FBXO44, FBXO6
OG0000239	NPPB	NPPB, NPPC	NPPB
OG0000240	TTLL10	TTL, TTLL10	TTLL10
OG0000241	EFHD2	EFHD1, EFHD2	EFHD2
OG0000242	CASP9	CASP9	CASP2, CASP9
OG0000243	FAM131C, LOC107966262	FAM131C	FAM131C
OG0000244	ARHGEF10L	ARHGEF10L, ARHGEF33	ARHGEF10L
OG0000245	LOC748832	MICOS10-NBL1, NBL1	LOC703641
OG0000246	USP48	USP34, USP48	USP48
OG0000247	WNT4	WNT4, WNT6	WNT4
OG0000248	ASAP3	ASAP2, ASAP3	ASAP3
OG0000249	E2F2	E2F2, E2F6	E2F2
OG0000250	ID3	ID2, ID3	ID3
OG0000251	GALE	GALE, UXS1	GALE
OG0000252	SRSF10	SRSF10, SRSF7	SRSF10
OG0000253	GRHL3	GRHL1, GRHL3	GRHL3
OG0000254	RCAN3	RCAN3	RCAN1, RCAN3
OG0000255	CLIC4	CLIC4	CLIC4, CLIC6
OG0000256	RUNX3	RUNX3	RUNX1, RUNX3
OG0000257	RSRP1	RSRP1	RSRP1, SON
OG0000258	SLC30A2	SLC30A2, SLC30A3	SLC30A2
OG0000259	TRIM63	TRIM54, TRIM63	TRIM63
OG0000260	FAM110D	FAM110C, FAM110D	FAM110D
OG0000261	ZDHHC18	ZDHHC18	ZDHHC18, ZDHHC4
OG0000262	MATN1	MATN1, MATN3	MATN1
OG0000263	SDC3	SDC1, SDC3	SDC3
OG0000264	PUM1	PUM1, PUM2	PUM1
OG0000265	PTP4A2	PTP4A2	LOC709294, PTP4A2
OG0000266	ZBTB8B	ZBTB8B, ZNF513	ZBTB8B
OG0000267	RBBP4	CIAO1, RBBP4	RBBP4
OG0000268	FNDC5	FNDC4, FNDC5	FNDC5
OG0000269	ZMYM6	ZMYM6	FAM200A, ZMYM6
OG0000270	TEKT2	TEKT2, TEKT4	TEKT2
OG0000271	EVA1B	EVA1A, EVA1B	EVA1B
OG0000272	STK40	STK40, TRIB2	STK40
OG0000273	GRIK3	GRIK3	GRIK1, GRIK3
OG0000274	SNIP1	SLC4A1AP, SNIP1	SNIP1
OG0000275	FHL3	FHL2, FHL3	FHL3
OG0000276	POU3F1	POU3F1, POU3F3	POU3F1
OG0000277	HPCAL4	HPCAL4, VSNL1	HPCAL4
OG0000278	MYCL	MYCL, MYCN	MYCL
OG0000279	MFSD2A	MFSD2A, MFSD2B	MFSD2A
OG0000280	SMAP2	SMAP2	ADAP1, SMAP2
OG0000281	ZFP69B	ZFP69B, ZNF514	ZFP69B
OG0000282	FOXJ3	FOXJ3, FOXN2	FOXJ3
OG0000283	PPIH	PPIG, PPIH	PPIH
OG0000284	CLDN19	CLDN19	CLDN15, CLDN19
OG0000285	FAM183A	FAM183A	FAM183A, LOC704337
OG0000286	ST3GAL3	ST3GAL3, ST3GAL5	ST3GAL3
OG0000287	PLK3	PLK3	PLK3, WEE2
OG0000288	PTCH2	PTCH2	NPC1L1, PTCH2
OG0000289	PIK3R3	P3R3URF-PIK3R3, PIK3R3	PIK3R3
OG0000290	LOC742376	UQCRH, UQCRHL	UQCRH
OG0000291	DMBX1	DMBX1, OTX1	DMBX1
OG0000292	MOB3C	MOB1A, MOB3C	MOB3C
OG0000293	TRABD2B	TRABD2A, TRABD2B	TRABD2B
OG0000294	SLC5A9	SLC5A9	SLC5A3, SLC5A9
OG0000295	ELAVL4	ELAVL4, RBM45	ELAVL4
OG0000296	EPS15	EHD3, EPS15	EPS15
OG0000297	SLC1A7	SLC1A4, SLC1A7	SLC1A7
OG0000298	HSPB11	HSPB11, REL	HSPB11
OG0000299	FAM151A	FAM151A	FAM151A, LOC100426071
OG0000300	TACSTD2	EPCAM, TACSTD2	TACSTD2
OG0000301	HOOK1	CCDC88A, HOOK1	HOOK1
OG0000302	USP1	USP1, USP40	USP1
OG0000303	DOCK7	DOCK10, DOCK7	DOCK7
OG0000304	ATG4C	ATG4B, ATG4C	ATG4C
OG0000305	PDE4B	PDE4B	PDE4B, PDE9A
OG0000306	LRRC40	LRRC40	LRRC40, LRWD1
OG0000307	TNNI3K	FPGT-TNNI3K, TNNI3K	TNNI3K
OG0000308	ACADM	ACADL, ACADM	ACADM
OG0000309	USP33	USP33, USP39	USP33
OG0000310	LOC104001302, LOC470738	SETMAR	LOC703880
OG0000311	TTLL7	TTLL4, TTLL7	TTLL7
OG0000312	PRKACB	PRKACB, ROCK2	PRKACB
OG0000313	RPF1	IMP4, RPF1	RPF1
OG0000314	TMEM56	TLCD4, TLCD4-RWDD3	TMEM56
OG0000315	SNX7	SNX7	LOC715581, SNX7
OG0000316	CDC14A	CDC14A	CDC14A, CDC14C
OG0000317	PRMT6	PRMT6	PRMT2, PRMT6
OG0000318	SLC25A24	SLC25A24	LOC695041, SLC25A24
OG0000319	SARS	SARS1	LOC697810, SARS
OG0000320	CELSR2	CELSR2	CDHR3, CELSR2
OG0000321	LOC112204967, SORT1	SORT1	SORT1
OG0000322	STRIP1	STRIP1	STRIP1, STRIP2
OG0000323	ALX3	ALX3	ALX3, UNCX
